date;system_time;cycle_time;battery_state;voltage[V];current[mA];capacity[mAh]
2025-10-25;02:06:36;0:00:09.623338;charging;4.197;0.19;10
2025-10-25;02:06:36;0:00:09.726374;charging;4.197;0.19;10
2025-10-25;02:06:36;0:00:09.829955;charging;4.197;0.19;10
2025-10-25;02:06:36;0:00:09.937669;charging;4.197;0.19;10
2025-10-25;02:06:36;0:00:10.041108;charging;4.197;0.19;10
2025-10-25;02:06:37;0:00:10.144851;charging;4.197;0.19;11
2025-10-25;02:06:37;0:00:10.248876;charging;4.197;0.19;11
2025-10-25;02:06:37;0:00:10.356946;charging;4.197;0.19;11
2025-10-25;02:06:37;0:00:10.478651;charging;4.197;0.19;11
2025-10-25;02:06:37;0:00:10.603744;charging;4.197;0.19;11
2025-10-25;02:06:37;0:00:10.706792;charging;4.197;0.19;11
2025-10-25;02:06:37;0:00:10.825577;charging;4.197;0.19;11
2025-10-25;02:06:37;0:00:10.934947;charging;4.197;0.19;11
2025-10-25;02:06:38;0:00:11.084518;charging;4.197;0.19;11
2025-10-25;02:06:38;0:00:11.188319;charging;4.197;0.19;12
2025-10-25;02:06:38;0:00:11.290973;charging;4.197;0.19;12
2025-10-25;02:06:38;0:00:11.394750;charging;4.197;0.19;12
2025-10-25;02:06:38;0:00:11.501968;charging;4.197;0.19;12
2025-10-25;02:06:38;0:00:11.605054;charging;4.197;0.19;12
2025-10-25;02:06:38;0:00:11.708592;charging;4.197;0.19;12
2025-10-25;02:06:38;0:00:11.812466;charging;4.197;0.19;12
2025-10-25;02:06:38;0:00:11.915800;charging;4.197;0.19;12
2025-10-25;02:06:38;0:00:12.018666;charging;4.197;0.19;12
2025-10-25;02:06:39;0:00:12.123747;charging;4.197;0.19;13
2025-10-25;02:06:39;0:00:12.228291;charging;4.197;0.19;13
2025-10-25;02:06:39;0:00:12.338426;charging;4.197;0.19;13
2025-10-25;02:06:39;0:00:12.446050;charging;4.197;0.19;13
2025-10-25;02:06:39;0:00:12.552594;charging;4.197;0.19;13
2025-10-25;02:06:39;0:00:12.655958;charging;4.197;0.19;13
2025-10-25;02:06:39;0:00:12.759159;charging;4.197;0.19;13
2025-10-25;02:06:39;0:00:12.865707;charging;4.197;0.19;13
2025-10-25;02:06:39;0:00:12.967511;charging;4.197;0.19;13
2025-10-25;02:06:39;0:00:13.069355;charging;4.197;0.19;13
2025-10-25;02:06:40;0:00:13.172669;charging;4.197;0.19;14
2025-10-25;02:06:40;0:00:13.275124;charging;4.197;0.19;14
2025-10-25;02:06:40;0:00:13.378926;charging;4.197;0.19;14
2025-10-25;02:06:40;0:00:13.481897;charging;4.197;0.19;14
2025-10-25;02:06:40;0:00:13.585344;charging;4.197;0.19;14
2025-10-25;02:06:40;0:00:13.688095;charging;4.197;0.19;14
2025-10-25;02:06:40;0:00:13.792761;charging;4.197;0.19;14
2025-10-25;02:06:40;0:00:13.896514;charging;4.197;0.19;14
2025-10-25;02:06:40;0:00:14.002802;charging;4.197;0.19;14
2025-10-25;02:06:41;0:00:14.109054;charging;4.197;0.19;15
2025-10-25;02:06:41;0:00:14.224254;charging;4.197;0.19;15
2025-10-25;02:06:41;0:00:14.346557;charging;4.197;0.19;15
2025-10-25;02:06:41;0:00:14.462275;charging;4.197;0.19;15
2025-10-25;02:06:41;0:00:14.581078;charging;4.197;0.19;15
2025-10-25;02:06:41;0:00:14.711992;charging;4.197;0.19;15
2025-10-25;02:06:41;0:00:14.815960;charging;4.197;0.19;15
2025-10-25;02:06:41;0:00:14.968105;charging;4.197;0.19;15
2025-10-25;02:06:42;0:00:15.112937;charging;4.197;0.19;15
2025-10-25;02:06:42;0:00:15.241153;charging;4.197;0.19;16
2025-10-25;02:06:42;0:00:15.347435;charging;4.197;0.19;16
2025-10-25;02:06:42;0:00:15.453657;charging;4.197;0.19;16
2025-10-25;02:06:42;0:00:15.557080;charging;4.197;0.19;16
2025-10-25;02:06:42;0:00:15.660195;charging;4.197;0.19;16
2025-10-25;02:06:42;0:00:15.762588;charging;4.197;0.19;16
2025-10-25;02:06:42;0:00:15.865069;charging;4.197;0.19;16
2025-10-25;02:06:42;0:00:15.967468;charging;4.197;0.19;16
2025-10-25;02:06:42;0:00:16.075244;charging;4.197;0.19;16
2025-10-25;02:06:43;0:00:16.178391;charging;4.197;0.19;16
2025-10-25;02:06:43;0:00:16.280938;charging;4.197;0.19;17
2025-10-25;02:06:43;0:00:16.395450;charging;4.197;0.19;17
2025-10-25;02:06:43;0:00:16.503496;charging;4.197;0.19;17
2025-10-25;02:06:43;0:00:16.606461;charging;4.197;0.19;17
2025-10-25;02:06:43;0:00:16.709606;charging;4.197;0.18;17
2025-10-25;02:06:43;0:00:16.812795;charging;4.197;0.19;17
2025-10-25;02:06:43;0:00:16.916945;charging;4.197;0.19;17
2025-10-25;02:06:43;0:00:17.041211;charging;4.197;0.18;17
2025-10-25;02:06:44;0:00:17.156246;charging;4.197;0.18;17
2025-10-25;02:06:44;0:00:17.308380;charging;4.197;0.18;18
2025-10-25;02:06:44;0:00:17.412226;charging;4.197;0.18;18
2025-10-25;02:06:44;0:00:17.515419;charging;4.197;0.18;18
2025-10-25;02:06:44;0:00:17.620859;charging;4.197;0.18;18
2025-10-25;02:06:44;0:00:17.725224;charging;4.197;0.18;18
2025-10-25;02:06:44;0:00:17.829539;charging;4.197;0.18;18
2025-10-25;02:06:44;0:00:17.934978;charging;4.197;0.18;18
2025-10-25;02:06:44;0:00:18.048903;charging;4.197;0.18;18
2025-10-25;02:06:45;0:00:18.208353;charging;4.197;0.18;18
2025-10-25;02:06:45;0:00:18.315390;charging;4.197;0.18;18
2025-10-25;02:06:45;0:00:18.421861;charging;4.197;0.18;19
2025-10-25;02:06:45;0:00:18.524260;charging;4.197;0.18;19
2025-10-25;02:06:45;0:00:18.628581;charging;4.197;0.18;19
2025-10-25;02:06:45;0:00:18.765488;charging;4.197;0.18;19
2025-10-25;02:06:45;0:00:18.874633;charging;4.197;0.18;19
2025-10-25;02:06:45;0:00:18.979286;charging;4.197;0.18;19
2025-10-25;02:06:45;0:00:19.081442;charging;4.197;0.18;19
2025-10-25;02:06:46;0:00:19.188767;charging;4.197;0.18;19
2025-10-25;02:06:46;0:00:19.295837;charging;4.197;0.18;19
2025-10-25;02:06:46;0:00:19.398162;charging;4.197;0.18;20
2025-10-25;02:06:46;0:00:19.532240;charging;4.197;0.18;20
2025-10-25;02:06:46;0:00:19.636440;charging;4.197;0.18;20
2025-10-25;02:06:46;0:00:19.739159;charging;4.197;0.18;20
2025-10-25;02:06:46;0:00:19.843222;charging;4.197;0.18;20
2025-10-25;02:06:46;0:00:19.948357;charging;4.197;0.18;20
2025-10-25;02:06:46;0:00:20.051914;charging;4.197;0.18;20
2025-10-25;02:06:47;0:00:20.155399;charging;4.197;0.18;20
2025-10-25;02:06:47;0:00:20.313501;charging;4.197;0.18;20
2025-10-25;02:06:47;0:00:20.421138;charging;4.197;0.18;20
2025-10-25;02:06:47;0:00:20.561326;charging;4.197;0.18;21
2025-10-25;02:06:47;0:00:20.668579;charging;4.197;0.18;21
2025-10-25;02:06:47;0:00:20.772501;charging;4.197;0.18;21
2025-10-25;02:06:47;0:00:20.881114;charging;4.197;0.18;21
2025-10-25;02:06:47;0:00:20.985686;charging;4.197;0.18;21
2025-10-25;02:06:48;0:00:21.088236;charging;4.197;0.18;21
2025-10-25;02:06:48;0:00:21.190965;charging;4.203;0.18;21
2025-10-25;02:06:48;0:00:21.293950;charging;4.203;0.18;21
