iCharger106B;Outlet
Time [hh:mm:ss.SSS];Voltage [V];Current [A];Capacity [mAh]
00:05:50.000;4.20;0.42;47
00:05:52.000;4.20;0.42;47
00:05:54.000;4.20;0.42;47
00:05:56.000;4.20;0.42;48
00:05:58.000;4.20;0.42;48
00:06:00.000;4.20;0.42;48
00:06:02.000;4.20;0.42;48
00:06:04.000;4.20;0.42;49
00:06:06.000;4.20;0.42;49
00:06:08.000;4.20;0.42;49
00:06:10.000;4.20;0.42;49
00:06:12.000;4.20;0.42;49
00:06:14.000;4.20;0.42;50
00:06:16.000;4.20;0.42;50
00:06:18.000;4.20;0.42;50
00:06:20.000;4.20;0.42;50
00:06:22.000;4.20;0.42;51
00:06:24.000;4.20;0.42;51
00:06:26.000;4.20;0.42;51
00:06:28.000;4.20;0.42;51
00:06:30.000;4.20;0.42;52
00:06:32.000;4.20;0.42;52
00:06:34.000;4.20;0.42;52
00:06:36.000;4.20;0.42;52
00:06:38.000;4.20;0.42;53
00:06:40.000;4.20;0.42;53
00:06:42.000;4.20;0.42;53
00:06:44.000;4.20;0.42;53
00:06:46.000;4.20;0.42;54
00:06:48.000;4.20;0.42;54
00:06:50.000;4.20;0.42;54
00:06:52.000;4.20;0.42;54
00:06:54.000;4.20;0.42;54
00:06:56.000;4.20;0.42;55
00:06:58.000;4.20;0.42;55
00:07:00.000;4.20;0.42;55
00:07:02.000;4.20;0.42;55
00:07:04.000;4.20;0.42;56
00:07:06.000;4.20;0.42;56
00:07:08.000;4.20;0.42;56
00:07:10.000;4.20;0.42;56
00:07:12.000;4.20;0.42;57
00:07:14.000;4.20;0.42;57
00:07:16.000;4.20;0.42;57
00:07:18.000;4.20;0.42;57
00:07:20.000;4.20;0.42;58
00:07:22.000;4.20;0.42;58
00:07:24.000;4.20;0.42;58
00:07:26.000;4.20;0.42;58
00:07:28.000;4.20;0.42;59
00:07:30.000;4.20;0.42;59
00:07:32.000;4.20;0.42;59
00:07:34.000;4.20;0.42;59
00:07:36.000;4.20;0.42;59
00:07:38.000;4.20;0.42;60
00:07:40.000;4.20;0.42;60
00:07:42.000;4.20;0.42;60
00:07:44.000;4.20;0.42;60
00:07:46.000;4.20;0.42;61
00:07:48.000;4.20;0.42;61
00:07:50.000;4.20;0.42;61
00:07:52.000;4.20;0.41;61
00:07:54.000;4.20;0.42;62
00:07:56.000;4.20;0.41;62
00:07:58.000;4.20;0.42;62
00:08:00.000;4.20;0.41;62
00:08:02.000;4.20;0.41;62
00:08:04.000;4.20;0.41;63
00:08:06.000;4.20;0.41;63
00:08:08.000;4.20;0.41;63
00:08:10.000;4.20;0.41;63
00:08:12.000;4.20;0.41;64
00:08:14.000;4.20;0.41;64
00:08:16.000;4.20;0.41;64
00:08:18.000;4.20;0.41;64
00:08:20.000;4.20;0.41;65
00:08:22.000;4.20;0.41;65
00:08:24.000;4.20;0.41;65
00:08:26.000;4.20;0.41;65
00:08:28.000;4.20;0.41;66
00:08:30.000;4.20;0.41;66
00:08:32.000;4.20;0.41;66
00:08:34.000;4.20;0.41;66
00:08:36.000;4.20;0.41;66
00:08:38.000;4.20;0.41;67
00:08:40.000;4.20;0.41;67
00:08:42.000;4.20;0.41;67
00:08:44.000;4.20;0.41;67
00:08:46.000;4.20;0.41;68
00:08:48.000;4.20;0.41;68
00:08:50.000;4.20;0.41;68
00:08:52.000;4.20;0.41;68
00:08:54.000;4.20;0.41;69
00:08:56.000;4.20;0.41;69
00:08:58.000;4.20;0.41;69
00:09:00.000;4.20;0.41;69
00:09:02.000;4.20;0.41;69
00:09:04.000;4.20;0.41;70
00:09:06.000;4.20;0.41;70
00:09:08.000;4.20;0.41;70
00:09:10.000;4.20;0.41;70
00:09:12.000;4.20;0.41;71
00:09:14.000;4.20;0.41;71
00:09:16.000;4.20;0.41;71
00:09:18.000;4.20;0.41;71
00:09:20.000;4.20;0.41;72
00:09:22.000;4.20;0.41;72
00:09:24.000;4.20;0.41;72
00:09:26.000;4.20;0.41;72
00:09:28.000;4.20;0.41;73
00:09:30.000;4.20;0.41;73
00:09:32.000;4.20;0.41;73
00:09:34.000;4.20;0.41;73
00:09:36.000;4.20;0.41;73
00:09:38.000;4.20;0.41;74
00:09:40.000;4.20;0.41;74
00:09:42.000;4.20;0.41;74
00:09:44.000;4.20;0.41;74
00:09:46.000;4.20;0.41;75
00:09:48.000;4.20;0.41;75
00:09:50.000;4.20;0.41;75
00:09:52.000;4.20;0.41;75
00:09:54.000;4.20;0.41;76
00:09:56.000;4.20;0.41;76
00:09:58.000;4.20;0.41;76
00:10:00.000;4.20;0.41;76
00:10:02.000;4.20;0.41;77
00:10:04.000;4.20;0.41;77
00:10:06.000;4.20;0.41;77
00:10:08.000;4.20;0.41;77
00:10:10.000;4.20;0.41;77
00:10:12.000;4.20;0.41;78
00:10:14.000;4.20;0.41;78
00:10:16.000;4.20;0.41;78
00:10:18.000;4.20;0.41;78
00:10:20.000;4.20;0.41;79
00:10:22.000;4.20;0.41;79
00:10:24.000;4.20;0.41;79
00:10:26.000;4.20;0.41;79
00:10:28.000;4.20;0.41;79
00:10:30.000;4.20;0.41;80
00:10:32.000;4.20;0.41;80
00:10:34.000;4.20;0.41;80
00:10:36.000;4.20;0.41;80
00:10:38.000;4.20;0.41;81
00:10:40.000;4.20;0.41;81
00:10:42.000;4.20;0.41;81
00:10:44.000;4.20;0.41;81
00:10:46.000;4.20;0.41;81
00:10:48.000;4.20;0.41;82
00:10:50.000;4.20;0.41;82
00:10:52.000;4.20;0.41;82
00:10:54.000;4.20;0.41;82
00:10:56.000;4.20;0.41;83
00:10:58.000;4.20;0.40;83
00:11:00.000;4.20;0.40;83
00:11:02.000;4.20;0.40;83
00:11:04.000;4.20;0.40;84
00:11:06.000;4.20;0.40;84
00:11:08.000;4.20;0.40;84
00:11:10.000;4.20;0.40;84
00:11:12.000;4.20;0.40;84
