date;time;battery_state;voltage[V];current[mA];capacity[mAh]
2025-09-23;16:18:41;rest;3.95;0;25
2025-09-23;16:18:43;rest;3.95;0;25
2025-09-23;16:18:45;rest;3.95;0;25
2025-09-23;16:18:47;rest;3.95;0;25
2025-09-23;16:18:49;rest;3.95;0;25
2025-09-23;16:18:51;rest;3.95;0;25
2025-09-23;16:18:53;rest;3.949;0;25
2025-09-23;16:18:55;rest;3.95;0;25
2025-09-23;16:18:57;rest;3.95;0;25
2025-09-23;16:18:59;rest;3.95;0;25
2025-09-23;16:19:01;rest;3.948;0;25
2025-09-23;16:19:03;rest;3.949;0;25
2025-09-23;16:19:05;rest;3.95;0;25
2025-09-23;16:19:07;rest;3.949;0;25
2025-09-23;16:19:09;rest;3.948;0;25
2025-09-23;16:19:11;rest;3.95;0;25
2025-09-23;16:19:13;rest;3.948;0;25
2025-09-23;16:19:15;rest;3.948;0;25
2025-09-23;16:19:17;rest;3.949;0;25
2025-09-23;16:19:19;rest;3.949;0;25
2025-09-23;16:19:21;rest;3.949;0;25
2025-09-23;16:19:23;rest;3.947;0;25
2025-09-23;16:19:25;rest;3.947;0;25
2025-09-23;16:19:27;rest;3.947;0;25
2025-09-23;16:19:29;rest;3.949;0;25
2025-09-23;16:19:31;rest;3.947;0;25
2025-09-23;16:19:33;rest;3.949;0;25
2025-09-23;16:19:35;rest;3.95;0;25
2025-09-23;16:19:37;rest;3.947;0;25
2025-09-23;16:19:39;rest;3.95;0;25
2025-09-23;16:19:41;rest;3.95;0;25
2025-09-23;16:19:43;rest;3.946;0;25
2025-09-23;16:19:45;rest;3.949;0;25
2025-09-23;16:19:47;rest;3.948;0;25
2025-09-23;16:19:49;rest;3.945;0;25
2025-09-23;16:19:51;rest;3.945;0;25
2025-09-23;16:19:53;rest;3.946;0;25
2025-09-23;16:19:55;rest;3.947;0;25
2025-09-23;16:19:57;rest;3.946;0;25
2025-09-23;16:19:59;rest;3.948;0;25
2025-09-23;16:20:01;rest;3.945;0;25
2025-09-23;16:20:03;rest;3.945;0;25
2025-09-23;16:20:05;rest;3.943;0;25
2025-09-23;16:20:07;rest;3.944;0;25
2025-09-23;16:20:09;rest;3.945;0;25
2025-09-23;16:20:11;rest;3.942;0;25
2025-09-23;16:20:13;rest;3.944;0;25
2025-09-23;16:20:15;rest;3.944;0;25
2025-09-23;16:20:17;rest;3.944;0;25
2025-09-23;16:20:19;rest;3.944;0;25
2025-09-23;16:20:21;rest;3.944;0;25
2025-09-23;16:20:23;rest;3.943;0;25
2025-09-23;16:20:25;rest;3.942;0;25
2025-09-23;16:20:27;rest;3.943;0;25
2025-09-23;16:20:29;rest;3.944;0;25
2025-09-23;16:20:31;rest;3.943;0;25
2025-09-23;16:20:33;rest;3.944;0;25
2025-09-23;16:20:35;rest;3.948;0;25
2025-09-23;16:20:37;rest;3.946;0;25
2025-09-23;16:20:39;rest;3.945;0;25
2025-09-23;16:20:41;rest;3.945;0;25
2025-09-23;16:20:43;rest;3.945;0;25
2025-09-23;16:20:45;rest;3.945;0;25
2025-09-23;16:20:47;rest;3.95;0;25
2025-09-23;16:20:49;rest;3.95;0;25
2025-09-23;16:20:51;rest;3.948;0;25
2025-09-23;16:20:53;rest;3.944;0;25
