date;system_time;cycle_time;battery_state;voltage[V];current[mA];capacity[mAh]
2025-10-25; 02:00:34;0:00:08.193448;charging;4.197;0.19;8
2025-10-25; 02:00:34;0:00:08.303349;charging;4.197;0.19;9
2025-10-25; 02:00:34;0:00:08.407168;charging;4.197;0.19;9
2025-10-25; 02:00:34;0:00:08.531524;charging;4.197;0.19;9
2025-10-25; 02:00:34;0:00:08.635974;charging;4.197;0.19;9
2025-10-25; 02:00:34;0:00:08.746478;charging;4.197;0.19;9
2025-10-25; 02:00:34;0:00:08.853340;charging;4.197;0.19;9
2025-10-25; 02:00:35;0:00:08.970141;charging;4.197;0.19;9
2025-10-25; 02:00:35;0:00:09.073381;charging;4.197;0.19;9
2025-10-25; 02:00:35;0:00:09.176106;charging;4.197;0.19;9
2025-10-25; 02:00:35;0:00:09.279771;charging;4.197;0.19;10
2025-10-25; 02:00:35;0:00:09.390050;charging;4.197;0.19;10
2025-10-25; 02:00:35;0:00:09.494763;charging;4.197;0.19;10
2025-10-25; 02:00:35;0:00:09.597709;charging;4.197;0.19;10
2025-10-25; 02:00:35;0:00:09.702264;charging;4.197;0.19;10
2025-10-25; 02:00:35;0:00:09.809829;charging;4.197;0.19;10
2025-10-25; 02:00:35;0:00:09.912951;charging;4.197;0.19;10
2025-10-25; 02:00:36;0:00:10.024934;charging;4.197;0.19;10
2025-10-25; 02:00:36;0:00:10.129400;charging;4.197;0.19;10
2025-10-25; 02:00:36;0:00:10.237181;charging;4.197;0.19;11
2025-10-25; 02:00:36;0:00:10.342549;charging;4.197;0.19;11
2025-10-25; 02:00:36;0:00:10.446549;charging;4.197;0.19;11
2025-10-25; 02:00:36;0:00:10.549456;charging;4.197;0.19;11
2025-10-25; 02:00:36;0:00:10.652734;charging;4.197;0.19;11
2025-10-25; 02:00:36;0:00:10.755767;charging;4.197;0.19;11
2025-10-25; 02:00:36;0:00:10.866140;charging;4.197;0.19;11
2025-10-25; 02:00:37;0:00:11.002795;charging;4.197;0.19;11
2025-10-25; 02:00:37;0:00:11.119591;charging;4.197;0.19;11
2025-10-25; 02:00:37;0:00:11.224693;charging;4.197;0.19;12
2025-10-25; 02:00:37;0:00:11.328763;charging;4.197;0.19;12
2025-10-25; 02:00:37;0:00:11.437961;charging;4.197;0.19;12
