iCharger208B;Outlet
Time [hh:mm:ss.SSS];Voltage [V];Current [A];Capacity [mAh];CellVoltage 1 [V];CellVoltage 2 [V];CellVoltage 3 [V];CellVoltage 4 [V];CellVoltage 5 [V];CellVoltage 6 [V];CellVoltage 7 [V];CellVoltage 8 [V]
02:02.000;4.196;0.32;12.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
02:04.000;4.196;0.32;12.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
02:06.000;4.196;0.32;12.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
02:08.000;4.196;0.32;12.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
02:10.000;4.196;0.32;12.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
02:12.000;4.196;0.32;12.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
02:14.000;4.196;0.32;13.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
02:16.000;4.196;0.32;13.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
02:18.000;4.196;0.32;13.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
02:20.000;4.196;0.32;13.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
02:22.000;4.196;0.32;13.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
02:24.000;4.196;0.32;14.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
02:26.000;4.196;0.32;14.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
02:28.000;4.196;0.32;14.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
02:30.000;4.196;0.32;14.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
02:32.000;4.196;0.32;14.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
02:34.000;4.196;0.32;14.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
02:36.000;4.196;0.31;15.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
02:38.000;4.196;0.32;15.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
02:40.000;4.196;0.31;15.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
02:42.000;4.196;0.31;15.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
02:44.000;4.196;0.32;15.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
02:46.000;4.196;0.31;15.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
02:48.000;4.196;0.31;16.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
02:50.000;4.196;0.31;16.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
02:52.000;4.196;0.31;16.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
02:54.000;4.196;0.31;16.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
02:56.000;4.196;0.31;16.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
02:58.000;4.196;0.30;17.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
03:00.000;4.196;0.30;17.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
03:02.000;4.196;0.31;17.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
03:04.000;4.196;0.30;17.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
03:06.000;4.196;0.30;17.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
03:08.000;4.196;0.30;17.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
03:10.000;4.196;0.30;18.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
03:12.000;4.196;0.30;18.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
03:14.000;4.196;0.30;18.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
03:16.000;4.196;0.30;18.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
03:18.000;4.196;0.30;18.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
03:20.000;4.196;0.30;18.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
03:22.000;4.196;0.30;19.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
03:24.000;4.196;0.30;19.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
03:26.000;4.196;0.30;19.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
03:28.000;4.196;0.30;19.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
03:30.000;4.196;0.30;19.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
03:32.000;4.196;0.30;19.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
03:34.000;4.196;0.30;20.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
03:36.000;4.196;0.30;20.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
03:38.000;4.196;0.30;20.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
03:40.000;4.196;0.30;20.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
03:42.000;4.196;0.29;20.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
03:44.000;4.196;0.30;20.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
03:46.000;4.196;0.30;21.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
03:48.000;4.196;0.29;21.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
03:50.000;4.196;0.29;21.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
03:52.000;4.196;0.29;21.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
03:54.000;4.196;0.29;21.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
03:56.000;4.196;0.29;21.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
03:58.000;4.196;0.29;22.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04:00.000;4.196;0.30;22.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04:02.000;4.196;0.29;22.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04:04.000;4.196;0.29;22.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04:06.000;4.196;0.29;22.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04:08.000;4.196;0.29;22.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04:10.000;4.196;0.29;23.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04:12.000;4.196;0.29;23.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04:14.000;4.196;0.29;23.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04:16.000;4.196;0.29;23.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04:18.000;4.196;0.29;23.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04:20.000;4.196;0.29;23.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04:22.000;4.196;0.29;24.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04:24.000;4.196;0.28;24.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04:26.000;4.196;0.28;24.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04:28.000;4.196;0.29;24.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04:30.000;4.196;0.29;24.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04:32.000;4.196;0.29;24.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04:34.000;4.196;0.28;25.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04:36.000;4.196;0.28;25.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04:38.000;4.196;0.28;25.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04:40.000;4.196;0.28;25.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04:42.000;4.196;0.28;25.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04:44.000;4.196;0.28;25.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04:46.000;4.196;0.28;26.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04:48.000;4.196;0.28;26.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04:50.000;4.196;0.28;26.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04:52.000;4.196;0.28;26.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04:54.000;4.196;0.28;26.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04:56.000;4.196;0.28;26.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04:58.000;4.196;0.28;26.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
05:00.000;4.196;0.28;27.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
05:02.000;4.196;0.29;27.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
05:04.000;4.196;0.28;27.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
05:06.000;4.196;0.28;27.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
05:08.000;4.196;0.28;27.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
05:10.000;4.196;0.28;27.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
05:12.000;4.196;0.28;28.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
05:14.000;4.196;0.30;28.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
05:16.000;4.196;0.28;28.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
05:18.000;4.196;0.28;28.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
05:20.000;4.196;0.28;28.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
05:22.000;4.196;0.28;28.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
05:24.000;4.196;0.28;29.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
05:26.000;4.196;0.28;29.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
05:28.000;4.196;0.28;29.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
05:30.000;4.196;0.28;29.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
05:32.000;4.196;0.28;29.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
05:34.000;4.196;0.28;29.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
05:36.000;4.196;0.28;30.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
05:38.000;4.196;0.28;30.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
05:40.000;4.196;0.28;30.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
05:42.000;4.196;0.28;30.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
05:44.000;4.196;0.28;30.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
05:46.000;4.196;0.28;30.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
05:48.000;4.196;0.28;30.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
05:50.000;4.196;0.28;31.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
05:52.000;4.196;0.28;31.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
05:54.000;4.196;0.28;31.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
05:56.000;4.196;0.28;31.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
05:58.000;4.196;0.28;31.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
06:00.000;4.196;0.28;31.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
06:02.000;4.196;0.28;32.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
06:04.000;4.196;0.28;32.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
06:06.000;4.196;0.28;32.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
06:08.000;4.196;0.29;32.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
06:10.000;4.196;0.29;32.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
06:12.000;4.196;0.28;32.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
06:14.000;4.196;0.29;33.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
06:16.000;4.196;0.28;33.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
06:18.000;4.196;0.28;33.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
06:20.000;4.196;0.28;33.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
06:22.000;4.196;0.28;33.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
06:24.000;4.196;0.28;33.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
06:26.000;4.196;0.28;34.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
06:28.000;4.196;0.29;34.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
06:30.000;4.196;0.28;34.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
06:32.000;4.196;0.28;34.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
06:34.000;4.196;0.28;34.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
06:36.000;4.196;0.28;34.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
06:38.000;4.196;0.28;34.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
06:40.000;4.196;0.28;35.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
06:42.000;4.196;0.28;35.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
06:44.000;4.196;0.28;35.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
06:46.000;4.196;0.28;35.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
06:48.000;4.196;0.28;35.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
06:50.000;4.196;0.28;35.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
06:52.000;4.196;0.28;36.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
06:54.000;4.196;0.28;36.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
06:56.000;4.196;0.28;36.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
06:58.000;4.196;0.28;36.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
07:00.000;4.196;0.28;36.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
07:02.000;4.196;0.28;36.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
07:04.000;4.196;0.28;37.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
07:06.000;4.196;0.28;37.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
07:08.000;4.196;0.28;37.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
07:10.000;4.196;0.28;37.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
07:12.000;4.196;0.28;37.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
07:14.000;4.196;0.28;37.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
07:16.000;4.196;0.28;38.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
07:18.000;4.196;0.28;38.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
07:20.000;4.196;0.28;38.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
07:22.000;4.196;0.28;38.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
07:24.000;4.196;0.28;38.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
07:26.000;4.196;0.28;38.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
07:28.000;4.196;0.28;38.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
07:30.000;4.196;0.28;39.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
07:32.000;4.196;0.28;39.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
07:34.000;4.196;0.28;39.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
07:36.000;4.196;0.28;39.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
07:38.000;4.196;0.28;39.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
07:40.000;4.196;0.28;39.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
07:42.000;4.196;0.28;40.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
07:44.000;4.196;0.28;40.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
07:46.000;4.196;0.27;40.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
07:48.000;4.196;0.28;40.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
07:50.000;4.196;0.27;40.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
07:52.000;4.196;0.27;40.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
07:54.000;4.196;0.27;40.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
07:56.000;4.196;0.27;41.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
07:58.000;4.196;0.27;41.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
08:00.000;4.196;0.27;41.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
08:02.000;4.196;0.28;41.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
08:04.000;4.196;0.27;41.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
08:06.000;4.196;0.27;41.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
08:08.000;4.196;0.27;42.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
08:10.000;4.196;0.27;42.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
08:12.000;4.196;0.27;42.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
08:14.000;4.196;0.27;42.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
08:16.000;4.196;0.27;42.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
08:18.000;4.196;0.27;42.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
08:20.000;4.196;0.27;42.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
08:22.000;4.196;0.27;43.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
08:24.000;4.196;0.27;43.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
08:26.000;4.196;0.27;43.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
08:28.000;4.196;0.27;43.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
08:30.000;4.196;0.27;43.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
08:32.000;4.196;0.27;43.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
08:34.000;4.196;0.27;44.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
08:36.000;4.196;0.27;44.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
08:38.000;4.196;0.27;44.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
08:40.000;4.196;0.27;44.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
08:42.000;4.196;0.27;44.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
08:44.000;4.196;0.27;44.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
08:46.000;4.196;0.27;44.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
08:48.000;4.196;0.26;45.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
08:50.000;4.196;0.26;45.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
08:52.000;4.196;0.26;45.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
08:54.000;4.196;0.26;45.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
08:56.000;4.196;0.26;45.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
08:58.000;4.196;0.26;45.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
09:00.000;4.196;0.26;46.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
09:02.000;4.196;0.26;46.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
