iCharger208B;Outlet
Time [hh:mm:ss.SSS];Voltage [V];Current [A];Capacity [mAh];CellVoltage 1 [V];CellVoltage 2 [V];CellVoltage 3 [V];CellVoltage 4 [V];CellVoltage 5 [V];CellVoltage 6 [V];CellVoltage 7 [V];CellVoltage 8 [V]
09:04.000;4.196;0.26;46.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
09:06.000;4.196;0.26;46.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
09:08.000;4.196;0.26;46.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
09:10.000;4.196;0.26;46.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
09:12.000;4.196;0.26;46.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
09:14.000;4.196;0.26;47.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
09:16.000;4.196;0.26;47.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
09:18.000;4.196;0.26;47.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
09:20.000;4.196;0.26;47.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
09:22.000;4.196;0.26;47.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
09:24.000;4.196;0.26;47.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
09:26.000;4.196;0.25;47.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
09:28.000;4.196;0.26;48.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
09:30.000;4.207;0.26;48.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
09:32.000;4.196;0.26;48.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
09:34.000;4.196;0.25;48.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
09:36.000;4.196;0.25;48.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
09:38.000;4.196;0.25;48.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
09:40.000;4.207;0.25;48.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
09:42.000;4.196;0.25;49.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
09:44.000;4.196;0.25;49.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
09:46.000;4.196;0.24;49.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
09:48.000;4.203;0.24;49.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
09:50.000;4.196;0.24;49.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
09:52.000;4.196;0.24;49.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
09:54.000;4.196;0.24;49.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
09:56.000;4.196;0.24;50.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
09:58.000;4.196;0.24;50.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
10:00.000;4.196;0.24;50.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
10:02.000;4.196;0.24;50.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
10:04.000;4.195;0.24;50.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
10:06.000;4.196;0.24;50.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
10:08.000;4.196;0.24;50.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
10:10.000;4.203;0.23;50.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
10:12.000;4.203;0.23;51.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
10:14.000;4.196;0.23;51.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
10:16.000;4.196;0.23;51.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
10:18.000;4.196;0.23;51.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
10:20.000;4.196;0.23;51.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
10:22.000;4.196;0.23;51.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
10:24.000;4.196;0.23;51.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
10:26.000;4.196;0.23;52.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
10:28.000;4.202;0.22;52.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
10:30.000;4.207;0.22;52.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
10:32.000;4.196;0.22;52.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
10:34.000;4.196;0.22;52.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
10:36.000;4.206;0.22;52.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
10:38.000;4.196;0.22;52.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
10:40.000;4.196;0.22;52.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
10:42.000;4.196;0.22;53.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
10:44.000;4.195;0.21;53.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
10:46.000;4.196;0.22;53.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
10:48.000;4.195;0.21;53.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
10:50.000;4.195;0.20;53.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
10:52.000;4.207;0.22;53.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
10:54.000;4.196;0.22;53.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
10:56.000;4.196;0.22;53.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
10:58.000;4.196;0.21;54.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
11:00.000;4.196;0.21;54.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
11:02.000;4.196;0.21;54.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
11:04.000;4.196;0.20;54.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
11:06.000;4.195;0.21;54.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
11:08.000;4.196;0.21;54.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
11:10.000;4.196;0.21;54.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
11:12.000;4.196;0.20;54.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
11:14.000;4.202;0.21;55.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
11:16.000;4.196;0.21;55.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
11:18.000;4.195;0.20;55.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
11:20.000;4.196;0.21;55.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
11:22.000;4.204;0.21;55.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
11:24.000;4.196;0.22;55.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
11:26.000;4.195;0.21;55.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
11:28.000;4.206;0.21;55.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
11:30.000;4.202;0.22;55.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
11:32.000;4.199;0.21;56.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
11:34.000;4.196;0.21;56.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
11:36.000;4.195;0.21;56.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
11:38.000;4.195;0.21;56.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
11:40.000;4.196;0.21;56.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
11:42.000;4.199;0.21;56.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
11:44.000;4.202;0.21;56.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
11:46.000;4.202;0.21;56.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
11:48.000;4.195;0.21;57.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
11:50.000;4.196;0.21;57.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
11:52.000;4.200;0.21;57.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
11:54.000;4.196;0.22;57.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
11:56.000;4.196;0.21;57.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
11:58.000;4.195;0.21;57.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
12:00.000;4.203;0.21;57.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
12:02.000;4.204;0.21;57.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
12:04.000;4.196;0.20;58.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
12:06.000;4.196;0.20;58.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
12:08.000;4.195;0.21;58.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
12:10.000;4.204;0.20;58.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
12:12.000;4.196;0.21;58.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
12:14.000;4.196;0.21;58.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
12:16.000;4.203;0.21;58.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
12:18.000;4.206;0.20;58.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
12:20.000;4.195;0.20;58.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
12:22.000;4.195;0.20;59.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
12:24.000;4.196;0.20;59.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
12:26.000;4.200;0.19;59.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
12:28.000;4.195;0.19;59.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
12:30.000;4.203;0.20;59.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
12:32.000;4.196;0.19;59.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
12:34.000;4.200;0.18;59.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
